,3,10,20,30
50,5.545206769683591,11.944161849710984,15.86511299435028,19.999883720930224
100,5.651234567901234,11.007687861271679,11.191149425287353,12.044990689013035
150,4.364870259481037,7.705054945054947,7.793628571428572,8.335871212121212
200,3.7995983935742967,5.995202312138728,6.124915510675914,6.8541916167664665
250,3.452235772357724,5.168218390804597,5.102187499999999,5.284469696969698
300,3.3293885601577906,4.416321839080459,4.436412429378531,4.637467411545623
350,3.2764705882352945,4.062528735632183,4.001448863636363,4.114613935969868
400,2.9067061143984225,3.711885714285714,3.606657303370786,3.6574487895716943
450,3.241010101010101,3.4804545454545455,3.348603351955307,3.442559852670349
500,3.2792899408284026,3.330773480662984,3.1372777777777774,3.236741154562383
